evaluation_version,factor_key,factor_label,transition_count,avg_turnover,median_turnover,latest_turnover,latest_transition_date,status
v4,score,総合スコア,0,,,,,サンプル不足
v4,return_20d,20日モメンタム,0,,,,,サンプル不足
v4,return_60d,60日モメンタム,0,,,,,サンプル不足
v4,return_120d,120日モメンタム,0,,,,,サンプル不足
v4,distance_ma20,20日移動平均乖離,0,,,,,サンプル不足
v4,distance_ma60,60日移動平均乖離,0,,,,,サンプル不足
v4,avg_turnover_20d,20日平均売買代金,0,,,,,サンプル不足
v4,volume_ratio_20d,出来高比,0,,,,,サンプル不足
v4,distance_high_120d,120日高値接近度,0,,,,,サンプル不足
v4,volatility_20d,20日変動率,0,,,,,サンプル不足
v5,score,総合スコア,0,,,,,サンプル不足
v5,return_20d,20日モメンタム,0,,,,,サンプル不足
v5,return_60d,60日モメンタム,0,,,,,サンプル不足
v5,return_120d,120日モメンタム,0,,,,,サンプル不足
v5,distance_ma20,20日移動平均乖離,0,,,,,サンプル不足
v5,distance_ma60,60日移動平均乖離,0,,,,,サンプル不足
v5,avg_turnover_20d,20日平均売買代金,0,,,,,サンプル不足
v5,volume_ratio_20d,出来高比,0,,,,,サンプル不足
v5,distance_high_120d,120日高値接近度,0,,,,,サンプル不足
v5,volatility_20d,20日変動率,0,,,,,サンプル不足
v7,score,総合スコア,37,0.658108108108108,0.65,0.44999999999999996,2026-08-12,評価可能
v7,return_20d,20日モメンタム,37,0.6635135135135133,0.7,0.4,2026-08-12,評価可能
v7,return_60d,60日モメンタム,37,0.6027027027027027,0.6,0.44999999999999996,2026-08-12,評価可能
v7,return_120d,120日モメンタム,37,0.6310810810810809,0.65,0.65,2026-08-12,評価可能
v7,distance_ma20,20日移動平均乖離,37,0.7013513513513513,0.7,0.5,2026-08-12,評価可能
v7,distance_ma60,60日移動平均乖離,37,0.6135135135135135,0.6,0.4,2026-08-12,評価可能
v7,avg_turnover_20d,20日平均売買代金,37,0.22972972972972977,0.19999999999999996,0.4,2026-08-12,評価可能
v7,volume_ratio_20d,出来高比,37,0.8945945945945947,0.9,0.85,2026-08-12,評価可能
v7,distance_high_120d,120日高値接近度,37,0.858108108108108,0.85,0.95,2026-08-12,評価可能
v7,volatility_20d,20日変動率,37,0.6702702702702702,0.7,0.7,2026-08-12,評価可能
