rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,6976,太陽誘電,電気機器,プライム,6976.T,太陽誘電(株),6,2,値上がり率・出来高,345,2026-06-15,2026-06-15,1,1,,,2026-06-15,19285.0,0.22639109697933235,0.28781302170283807,1.6807061440088962,3.901383005120892,4.360929803636846,13754.8,8183.17285563151,0.4020560095384884,1.3566653595406355,0.0,1.4734893907131663,36041200.0,19837430.0,1.8168280871060414,325260047195.0,243,19.814814814814817,17.833333333333336,9.906832298136646,9.907407407407408,9.907407407407408,9.907407407407408,5.901234567901234,6.654320987654321,0.25925925925925924,90.09,47.55,19.81,15.81,v4,True,True,True,True,True,True,True,True,True,False,False,False
2,285A,キオクシアホールディングス,電気機器,プライム,285A.T,キオクシアホールディングス(株),17,2,値上がり率・出来高,334,2026-06-15,2026-06-15,1,1,,,2026-06-15,90910.0,0.11958128078817731,0.2647468002225932,0.7669582118561711,3.019898297590095,8.19211324570273,68947.5,43996.0,0.3185394684361289,1.0663242112919358,0.0,0.9800285044349208,33746100.0,38280540.0,0.8815471255107686,2741374670800.0,243,19.814814814814817,17.833333333333336,9.906832298136646,9.907407407407408,9.907407407407408,9.907407407407408,2.3209876543209877,6.654320987654321,0.9938271604938271,87.25,47.55,19.81,12.23,v4,True,True,True,True,True,True,True,False,True,False,False,False
3,8035,東京エレクトロン,電気機器,プライム,8035.T,東京エレクトロン(株),133,1,出来高,118,2026-06-15,2026-06-15,1,1,,,2026-06-15,72760.0,0.07000000000000006,0.3224282079243912,0.4770604953308972,0.8758718926581552,1.3314407791980054,56222.0,47928.372265625,0.29415531286684926,0.5180987077290049,0.0,0.7960159048230935,4611000.0,4016975.0,1.1478786898101183,240199486500.0,243,19.19753086419753,17.111111111111114,9.161490683229813,9.753086419753085,9.722222222222221,9.907407407407408,4.197530864197531,6.654320987654321,1.4475308641975309,87.15,45.47,19.48,14.1,v4,True,True,True,True,True,True,True,False,True,False,True,False
4,4062,イビデン,電気機器,プライム,4062.T,イビデン(株),13,2,値上がり率・出来高,338,2026-06-15,2026-06-15,1,1,,,2026-06-15,22750.0,0.19078775189740904,0.3335287221570926,0.45506875599616237,1.7968270131998088,2.573711285209881,19502.5,13762.009733072917,0.16651711319061668,0.653101577549906,-0.010869565217391353,1.289871078524946,9816600.0,8140205.0,1.2059401452420424,162702354775.0,243,19.012345679012345,17.833333333333336,9.782608695652174,9.290123456790125,9.907407407407408,9.783950617283951,4.6419753086419755,6.070987654320987,0.4104938271604938,86.73,46.63,19.2,14.43,v4,True,True,True,True,True,True,True,True,True,False,False,False
5,3436,ＳＵＭＣＯ,金属製品,プライム,3436.T,(株)ＳＵＭＣＯ,16,2,値上がり率・出来高,335,2026-06-15,2026-06-15,1,1,,,2026-06-15,4305.0,0.1784834382699152,0.22231686541737639,0.4388368983957218,1.6639851485148514,2.202962961617459,3637.75,2720.95,0.1834238196687512,0.5821679927966337,-0.03453689167974883,1.2281826679870074,18322400.0,13668695.0,1.3404644700902317,51022794840.0,243,18.95061728395062,17.833333333333336,9.720496894409939,9.351851851851853,9.783950617283951,9.19753086419753,5.111111111111111,5.595679012345679,0.49691358024691357,86.04,46.5,19.14,14.31,v4,True,True,True,True,True,True,True,True,True,False,False,False
6,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,プライム,6525.T,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,32,2,値上がり率・出来高,319,2026-06-15,2026-06-15,1,1,,,2026-06-15,9958.0,0.12202816901408453,0.3735172413793104,0.48272781417510413,0.857152666009672,1.0741674617444765,7764.55,6720.417667643229,0.2824954440373235,0.4817531428061008,0.0,1.035835006207348,9036400.0,7639680.0,1.1828244114936752,59760095225.0,243,19.320987654320987,17.055555555555557,8.881987577639752,9.722222222222221,9.660493827160494,9.290123456790125,4.493827160493828,6.654320987654321,0.8641975308641975,85.94,45.26,19.38,13.78,v4,True,True,True,True,True,True,True,False,True,False,False,False
7,6278,ユニオンツール,機械,プライム,6278.T,ユニオンツール(株),115,1,値上がり率,136,2026-06-15,2026-06-15,1,1,,,2026-06-15,26430.0,0.07789559543230018,0.22987436016751972,0.32947686116700203,0.777404169468729,1.9778882528296702,22234.0,18168.166666666668,0.18871997841144195,0.45474226898696424,0.0,0.6437063487354525,437700.0,349135.0,1.2536697838944821,7865989450.0,243,18.45679012345679,16.833333333333332,9.658385093167702,9.413580246913579,9.62962962962963,6.944444444444445,4.888888888888889,6.654320987654321,2.398148148148148,84.88,44.95,19.04,11.83,v4,True,True,True,True,True,True,True,True,True,False,True,False
8,6981,村田製作所,電気機器,プライム,6981.T,(株)村田製作所,17,2,値上がり率・出来高,334,2026-06-15,2026-06-15,1,1,,,2026-06-15,10060.0,0.1757830762038335,0.15486166915394328,0.6302058013287959,1.8153328102010118,1.986736900259904,8678.2,5923.7602945963545,0.15922656772141686,0.6982456243505866,-0.040991420400381284,1.209433120970407,28135700.0,37894535.0,0.742473815815394,352479904945.0,243,19.814814814814817,17.833333333333336,9.68944099378882,9.166666666666664,9.907407407407408,9.907407407407408,1.4320987654320987,5.487654320987655,0.5833333333333333,83.82,47.34,19.07,11.34,v4,True,True,True,True,True,True,True,False,True,False,False,False
9,6387,サムコ,機械,プライム,6387.T,サムコ(株),4,1,値上がり率,247,2026-06-15,2026-06-15,1,1,,,2026-06-15,15200.0,0.2357723577235773,0.2925170068027212,0.2541254125412542,0.9289340101522843,2.6982968369829683,11700.0,10554.0,0.2991452991452992,0.44021224180405527,0.0,1.2444635463757472,480600.0,132905.0,3.6161167751401377,1858166750.0,243,17.839506172839506,17.27777777777778,9.906832298136646,9.783950617283951,9.5679012345679,4.876543209876543,7.1604938271604945,6.654320987654321,0.45370370370370366,83.52,45.02,19.35,12.04,v4,True,True,True,True,True,True,True,True,True,False,False,False
10,5367,ニッカトー,ガラス・土石製品,スタンダード,5367.T,(株)ニッカトー,9,1,値上がり率,242,2026-06-15,2026-06-15,1,1,,,2026-06-15,1410.0,0.20307167235494883,0.17500000000000004,0.7407407407407407,0.841683158402941,1.433652855897964,1132.35,887.3752644856771,0.2451980394754274,0.5889557174181954,-0.026915113871635588,1.588995021131232,3851300.0,1258045.0,3.0613372335647773,1850231770.0,243,19.814814814814817,17.0,9.254658385093167,9.62962962962963,9.907407407407408,4.845679012345679,6.962962962962963,5.811728395061729,0.1728395061728395,83.4,46.07,19.54,11.81,v4,True,True,True,True,True,True,True,True,True,False,False,False
