evaluation_version,universe_source,universe_label,horizon,sample_count,valid_count,avg_open_buy_return,median_open_buy_return,win_rate,avg_excess_return,avg_net_return,cost_bps_one_way
v4,jpx_liquidity,JPX流動性,1d,100,100,-0.003237742293321324,-0.0035159520906045127,0.45,,-0.005230270046476974,10
v4,jpx_liquidity,JPX流動性,3d,100,100,0.03629324122645114,0.02634369309948137,0.78,,0.03422169103723946,10
v4,jpx_liquidity,JPX流動性,5d,100,100,0.05292986357686018,0.041385482221648284,0.8,,0.050825056779570055,10
v4,jpx_liquidity,JPX流動性,10d,100,100,0.010583817175516564,-0.0010237274557547416,0.5,,0.008563660124982702,10
v4,yahoo,Yahooランキング,1d,100,100,-0.006279601058521651,-0.005865601046527724,0.37,,-0.00826604813600566,10
v4,yahoo,Yahooランキング,3d,100,100,0.03269663923701476,0.01859026404357933,0.67,,0.030632278655179965,10
v4,yahoo,Yahooランキング,5d,100,100,0.058593379342656224,0.04071834992887624,0.7,,0.056477251177350266,10
v4,yahoo,Yahooランキング,10d,100,100,0.005325580647165849,-0.0070504977543554,0.47,,0.0033159348114521637,10
v5,jpx_liquidity,JPX流動性,1d,100,100,0.011343672810443598,0.011026180458158064,0.67,,0.009321996808495521,10
v5,jpx_liquidity,JPX流動性,3d,100,100,0.03887108110824339,0.032597456476004094,0.74,,0.036794377817108016,10
v5,jpx_liquidity,JPX流動性,5d,100,100,-0.017576970160311674,-0.025129577478021192,0.31,,-0.019540833796961216,10
v5,jpx_liquidity,JPX流動性,10d,100,100,0.01246881940743416,0.006196273379935779,0.54,,0.010444894237438693,10
v5,yahoo,Yahooランキング,1d,100,100,0.007677485641730712,0.002439941035289772,0.53,,0.005663138347932888,10
v5,yahoo,Yahooランキング,3d,100,100,0.028352740605504398,0.01614404224131394,0.66,,0.02629706347703402,10
v5,yahoo,Yahooランキング,5d,100,100,-0.023700311168243293,-0.027664381188891363,0.31,,-0.02565193424621798,10
v5,yahoo,Yahooランキング,10d,100,100,-0.005242711892910319,-0.01251154383063844,0.39,,-0.007231231711836395,10
v7,jpx_liquidity,JPX流動性,1d,2000,1900,-0.006345173823331187,-0.004081400352586806,0.40210526315789474,,-0.008331489820858348,10
v7,jpx_liquidity,JPX流動性,3d,2000,1700,-0.015572672487463907,-0.011635623340981727,0.36941176470588233,,-0.017540542715161467,10
v7,jpx_liquidity,JPX流動性,5d,2000,1500,-0.023376814989628864,-0.0195974704351633,0.36133333333333334,,-0.025329084736464592,10
v7,jpx_liquidity,JPX流動性,10d,2000,1000,-0.054829456403729535,-0.04923856369509483,0.278,,-0.05671885232037848,10
v7,yahoo,Yahooランキング,1d,2000,1900,-0.005614709823256106,-0.003926809210526294,0.41210526315789475,,-0.0076024860183194175,10
v7,yahoo,Yahooランキング,3d,2000,1698,-0.013755308711341232,-0.008863877283781296,0.3945818610129564,,-0.01572681184922726,10
v7,yahoo,Yahooランキング,5d,2000,1500,-0.016901826753659612,-0.011193338140386366,0.414,,-0.01886704000197905,10
v7,yahoo,Yahooランキング,10d,2000,998,-0.03302676580849811,-0.0186196365526652,0.437875751503006,,-0.034959745303646914,10
