code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change
6659,メディアリンクス,電気機器,スタンダード,6659.T,(株)メディアリンクス,1,3,値上がり率・出来高・出来高増加率,450,2026-06-22,2026-06-15,3,1,149.0,148.0
8918,ランド,不動産業,スタンダード,8918.T,(株)ランド,1,1,出来高,250,2026-06-22,2026-06-15,5,4,2.0,1.0
2962,テクニスコ,金属製品,スタンダード,2962.T,(株)テクニスコ,2,2,値上がり率・出来高増加率,349,2026-06-22,2026-06-15,4,3,141.0,139.0
4564,オンコセラピー・サイエンス,医薬品,グロース,4564.T,オンコセラピー・サイエンス(株),2,2,値上がり率・出来高,349,2026-06-22,2026-06-15,5,4,3.0,1.0
4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,情報・通信業,グロース,4265.T,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅ(株),3,2,値上がり率・出来高増加率,348,2026-06-22,2026-06-17,3,1,35.0,32.0
9432,ＮＴＴ,情報・通信業,プライム,9432.T,ＮＴＴ(株),3,1,出来高,248,2026-06-22,2026-06-15,5,4,1.0,-2.0
3444,菊池製作所,金属製品,スタンダード,3444.T,(株)菊池製作所,4,2,値上がり率・出来高増加率,347,2026-06-22,2026-06-18,2,1,41.0,37.0
4287,ジャストプランニング,情報・通信業,スタンダード,4287.T,(株)ジャストプランニング,5,1,出来高増加率,246,2026-06-22,2026-06-22,1,1,,
5803,フジクラ,非鉄金属,プライム,5803.T,(株)フジクラ,5,3,値上がり率・出来高・出来高増加率,446,2026-06-22,2026-06-15,5,4,8.0,3.0
9444,トーシンホールディングス,情報・通信業,スタンダード,9444.T,(株)トーシンホールディングス,5,2,値上がり率・出来高増加率,346,2026-06-22,2026-06-22,1,1,,
3907,シリコンスタジオ,情報・通信業,スタンダード,3907.T,シリコンスタジオ(株),6,1,出来高増加率,245,2026-06-22,2026-06-22,1,1,,
6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,サービス業,プライム,6533.T,(株)Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,6,2,値上がり率・出来高増加率,345,2026-06-22,2026-06-22,1,1,,
6740,ジャパンディスプレイ,電気機器,プライム,6740.T,(株)ジャパンディスプレイ,6,1,出来高,245,2026-06-22,2026-06-15,5,4,6.0,0.0
4597,ソレイジア・ファーマ,医薬品,グロース,4597.T,ソレイジア・ファーマ(株),7,1,出来高,244,2026-06-22,2026-06-15,5,4,9.0,2.0
6994,指月電機製作所,電気機器,スタンダード,6994.T,(株)指月電機製作所,7,3,値上がり率・出来高・出来高増加率,444,2026-06-22,2026-06-15,2,1,147.0,140.0
6597,ＨＰＣシステムズ,電気機器,グロース,6597.T,ＨＰＣシステムズ(株),8,1,値上がり率,243,2026-06-22,2026-06-22,1,1,,
9434,ソフトバンク,情報・通信業,プライム,9434.T,ソフトバンク(株),8,1,出来高,243,2026-06-22,2026-06-15,5,4,5.0,-3.0
