code,name,industry,market,ticker
1301,極洋,水産・農林業,プライム,1301.T
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,グロース,130A.T
1332,ニッスイ,水産・農林業,プライム,1332.T
1333,Ｕｍｉｏｓ,水産・農林業,プライム,1333.T
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報・通信業,グロース,135A.T
1375,ユキグニファクトリー,水産・農林業,プライム,1375.T
1376,カネコ種苗,水産・農林業,スタンダード,1376.T
1377,サカタのタネ,水産・農林業,プライム,1377.T
1379,ホクト,水産・農林業,プライム,1379.T
137A,Ｃｏｃｏｌｉｖｅ,情報・通信業,グロース,137A.T
1380,秋川牧園,水産・農林業,スタンダード,1380.T
1381,アクシーズ,水産・農林業,スタンダード,1381.T
1382,ホーブ,水産・農林業,スタンダード,1382.T
1383,ベルグアース,水産・農林業,スタンダード,1383.T
1384,ホクリヨウ,水産・農林業,スタンダード,1384.T
138A,光フードサービス,小売業,グロース,138A.T
1401,エムビーエス,建設業,グロース,1401.T
1407,ウエストホールディングス,建設業,スタンダード,1407.T
1414,ショーボンドホールディングス,建設業,プライム,1414.T
1417,ミライト・ワン,建設業,プライム,1417.T
1418,インターライフホールディングス,建設業,スタンダード,1418.T
1419,タマホーム,建設業,プライム,1419.T
141A,トライアルホールディングス,小売業,グロース,141A.T
1420,サンヨーホームズ,建設業,スタンダード,1420.T
1429,日本アクア,建設業,プライム,1429.T
142A,ジンジブ,サービス業,グロース,142A.T
1430,ファーストコーポレーション,建設業,スタンダード,1430.T
1431,Ｌｉｂ　Ｗｏｒｋ,建設業,グロース,1431.T
1433,ベステラ,建設業,プライム,1433.T
1434,ＪＥＳＣＯホールディングス,建設業,スタンダード,1434.T
1435,ｒｏｂｏｔ　ｈｏｍｅ,不動産業,スタンダード,1435.T
1436,グリーンエナジー＆カンパニー,建設業,グロース,1436.T
1438,岐阜造園,建設業,スタンダード,1438.T
143A,イシン,サービス業,グロース,143A.T
1443,技研ホールディングス,建設業,スタンダード,1443.T
1444,ニッソウ,建設業,グロース,1444.T
1446,キャンディル,建設業,スタンダード,1446.T
1447,ＳＡＡＦホールディングス,建設業,グロース,1447.T
1450,ＴＡＮＡＫＥＮ,建設業,スタンダード,1450.T
145A,Ｌ　ｉｓ　Ｂ,情報・通信業,グロース,145A.T
146A,コロンビア・ワークス,不動産業,スタンダード,146A.T
147A,ソラコム,情報・通信業,グロース,147A.T
148A,ハッチ・ワーク,情報・通信業,グロース,148A.T
1491,中外鉱業,非鉄金属,スタンダード,1491.T
149A,シンカ,情報・通信業,グロース,149A.T
150A,ＪＳＨ,サービス業,グロース,150A.T
1514,住石ホールディングス,鉱業,スタンダード,1514.T
1515,日鉄鉱業,鉱業,プライム,1515.T
1518,三井松島ホールディングス,その他製品,プライム,1518.T
151A,ダイブ,サービス業,グロース,151A.T
153A,カウリス,情報・通信業,グロース,153A.T
155A,情報戦略テクノロジー,情報・通信業,グロース,155A.T
156A,マテリアルグループ,サービス業,グロース,156A.T
157A,グリーンモンスター,サービス業,グロース,157A.T
1605,ＩＮＰＥＸ,鉱業,プライム,1605.T
160A,アズパートナーズ,サービス業,スタンダード,160A.T
1662,石油資源開発,鉱業,プライム,1662.T
1663,Ｋ＆Ｏエナジーグループ,鉱業,プライム,1663.T
166A,タスキホールディングス,不動産業,グロース,166A.T
167A,リョーサン菱洋ホールディングス,卸売業,プライム,167A.T
168A,イタミアート,その他製品,グロース,168A.T
1711,ＳＤＳホールディングス,建設業,スタンダード,1711.T
1716,第一カッター興業,建設業,スタンダード,1716.T
1717,明豊ファシリティワークス,サービス業,スタンダード,1717.T
1718,美樹工業,建設業,スタンダード,1718.T
1719,安藤・間,建設業,プライム,1719.T
1720,東急建設,建設業,プライム,1720.T
1721,コムシスホールディングス,建設業,プライム,1721.T
1723,日本電技,建設業,スタンダード,1723.T
1724,シンクレイヤ,建設業,スタンダード,1724.T
1726,ビーアールホールディングス,建設業,プライム,1726.T
1736,オーテック,建設業,スタンダード,1736.T
173A,ハンモック,情報・通信業,グロース,173A.T
1758,太洋基礎工業,建設業,スタンダード,1758.T
175A,Ｗｉｌｌ　Ｓｍａｒｔ,情報・通信業,グロース,175A.T
1762,高松コンストラクショングループ,建設業,プライム,1762.T
1764,工藤建設,建設業,スタンダード,1764.T
1766,東建コーポレーション,建設業,プライム,1766.T
1768,ソネック,建設業,スタンダード,1768.T
1770,藤田エンジニアリング,建設業,スタンダード,1770.T
1773,ワイ・ティー・エル・コーポレーション・バーハッド,建設業,プライム,1773.T
177A,コージンバイオ,化学,グロース,177A.T
1780,ヤマウラ,建設業,プライム,1780.T
1783,ｆａｎｔａｓｉｓｔａ,不動産業,スタンダード,1783.T
1786,オリエンタル白石,建設業,プライム,1786.T
1787,ナカボーテック,建設業,スタンダード,1787.T
1788,三東工業社,建設業,スタンダード,1788.T
1793,大本組,建設業,スタンダード,1793.T
1795,マサル,建設業,スタンダード,1795.T
1798,守谷商会,建設業,スタンダード,1798.T
1799,第一建設工業,建設業,スタンダード,1799.T
1801,大成建設,建設業,プライム,1801.T
1802,大林組,建設業,プライム,1802.T
1803,清水建設,建設業,プライム,1803.T
1807,佐藤渡辺,建設業,スタンダード,1807.T
1808,長谷工コーポレーション,建設業,プライム,1808.T
1810,松井建設,建設業,スタンダード,1810.T
1811,錢高組,建設業,スタンダード,1811.T
1812,鹿島建設,建設業,プライム,1812.T
1813,不動テトラ,建設業,プライム,1813.T
1814,大末建設,建設業,プライム,1814.T
1815,鉄建建設,建設業,プライム,1815.T
1820,西松建設,建設業,プライム,1820.T
1822,大豊建設,建設業,スタンダード,1822.T
1826,佐田建設,建設業,スタンダード,1826.T
1827,ナカノフドー建設,建設業,スタンダード,1827.T
1828,田辺工業,建設業,スタンダード,1828.T
1833,奥村組,建設業,プライム,1833.T
1835,東鉄工業,建設業,プライム,1835.T
1840,土屋ホールディングス,建設業,スタンダード,1840.T
1844,大盛工業,建設業,スタンダード,1844.T
1847,イチケン,建設業,スタンダード,1847.T
1848,富士ピー・エス,建設業,スタンダード,1848.T
184A,学びエイド,情報・通信業,グロース,184A.T
1850,南海辰村建設,建設業,スタンダード,1850.T
1852,淺沼組,建設業,プライム,1852.T
1853,森組,建設業,スタンダード,1853.T
1860,戸田建設,建設業,プライム,1860.T
1861,熊谷組,建設業,プライム,1861.T
1866,北野建設,建設業,スタンダード,1866.T
1867,植木組,建設業,スタンダード,1867.T
186A,アストロスケールホールディングス,サービス業,グロース,186A.T
1870,矢作建設工業,建設業,プライム,1870.T
1871,ピーエス・コンストラクション,建設業,プライム,1871.T
1873,日本ハウスホールディングス,建設業,プライム,1873.T
1878,大東建託,不動産業,プライム,1878.T
1879,新日本建設,建設業,プライム,1879.T
1882,東亜道路工業,建設業,プライム,1882.T
1885,東亜建設工業,建設業,プライム,1885.T
1887,日本国土開発,建設業,プライム,1887.T
1888,若築建設,建設業,プライム,1888.T
1893,五洋建設,建設業,プライム,1893.T
1897,金下建設,建設業,スタンダード,1897.T
1898,世紀東急工業,建設業,プライム,1898.T
1899,福田組,建設業,プライム,1899.T
189A,Ｄ＆Ｍカンパニー,サービス業,グロース,189A.T
1904,大成温調,建設業,スタンダード,1904.T
1905,テノックス,建設業,スタンダード,1905.T
1909,日本ドライケミカル,機械,スタンダード,1909.T
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,医薬品,グロース,190A.T
1911,住友林業,建設業,プライム,1911.T
1914,日本基礎技術,建設業,スタンダード,1914.T
1921,巴コーポレーション,建設業,スタンダード,1921.T
1925,大和ハウス工業,建設業,プライム,1925.T
1926,ライト工業,建設業,プライム,1926.T
1928,積水ハウス,建設業,プライム,1928.T
1929,日特建設,建設業,プライム,1929.T
192A,インテグループ,サービス業,グロース,192A.T
1930,北陸電気工事,建設業,プライム,1930.T
1934,ユアテック,建設業,プライム,1934.T
1938,日本リーテック,建設業,プライム,1938.T
1939,四電工,建設業,プライム,1939.T
1941,中電工,建設業,プライム,1941.T
1942,関電工,建設業,プライム,1942.T
1944,きんでん,建設業,プライム,1944.T
1945,東京エネシス,建設業,プライム,1945.T
1946,トーエネック,建設業,プライム,1946.T
1948,弘電社,建設業,スタンダード,1948.T
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,サービス業,グロース,194A.T
1950,日本電設工業,建設業,プライム,1950.T
1951,エクシオグループ,建設業,プライム,1951.T
1952,新日本空調,建設業,プライム,1952.T
1959,クラフティア,建設業,プライム,1959.T
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,サービス業,グロース,195A.T
1960,サンテック,建設業,スタンダード,1960.T
1961,三機工業,建設業,プライム,1961.T
1963,日揮ホールディングス,建設業,プライム,1963.T
1964,中外炉工業,建設業,プライム,1964.T
1965,テクノ菱和,建設業,スタンダード,1965.T
1966,高田工業所,建設業,スタンダード,1966.T
1967,ヤマト,建設業,スタンダード,1967.T
1968,太平電業,建設業,プライム,1968.T
1969,高砂熱学工業,建設業,プライム,1969.T
196A,ＭＦＳ,その他金融業,グロース,196A.T
1972,三晃金属工業,建設業,スタンダード,1972.T
1975,朝日工業社,建設業,プライム,1975.T
1976,明星工業,建設業,プライム,1976.T
1979,大氣社,建設業,プライム,1979.T
197A,タウンズ,医薬品,スタンダード,197A.T
1980,ダイダン,建設業,プライム,1980.T
1981,協和日成,建設業,スタンダード,1981.T
1982,日比谷総合設備,建設業,プライム,1982.T
198A,ＰｏｓｔＰｒｉｍｅ,情報・通信業,グロース,198A.T
1992,神田通信機,建設業,スタンダード,1992.T
1994,高橋カーテンウォール工業,建設業,スタンダード,1994.T
1997,暁飯島工業,建設業,スタンダード,1997.T
2001,ニップン,食料品,プライム,2001.T
2002,日清製粉グループ本社,食料品,プライム,2002.T
2003,日東富士製粉,食料品,スタンダード,2003.T
2004,昭和産業,食料品,プライム,2004.T
2009,鳥越製粉,食料品,スタンダード,2009.T
2053,中部飼料,食料品,プライム,2053.T
2055,日和産業,食料品,スタンダード,2055.T
205A,ロゴスホールディングス,建設業,グロース,205A.T
2060,フィード・ワン,食料品,プライム,2060.T
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,医薬品,グロース,206A.T
208A,構造計画研究所ホールディングス,情報・通信業,スタンダード,208A.T
2108,日本甜菜製糖,食料品,プライム,2108.T
2109,ＤＭ三井製糖,食料品,プライム,2109.T
2112,塩水港精糖,食料品,スタンダード,2112.T
2114,フジ日本,食料品,スタンダード,2114.T
2117,ウェルネオシュガー,食料品,プライム,2117.T
211A,カドス・コーポレーション,建設業,スタンダード,211A.T
2120,ＬＩＦＵＬＬ,サービス業,プライム,2120.T
2121,ＭＩＸＩ,情報・通信業,プライム,2121.T
2122,インタースペース,サービス業,スタンダード,2122.T
2124,ジェイエイシーリクルートメント,サービス業,プライム,2124.T
2127,日本Ｍ＆Ａセンターホールディングス,サービス業,プライム,2127.T
212A,フィットイージー,サービス業,プライム,212A.T
2130,メンバーズ,サービス業,プライム,2130.T
2134,北浜キャピタルパートナーズ,サービス業,スタンダード,2134.T
2136,ヒップ,サービス業,スタンダード,2136.T
2138,クルーズ,情報・通信業,スタンダード,2138.T
2139,中広,サービス業,スタンダード,2139.T
2146,ＵＴグループ,サービス業,プライム,2146.T
2148,アイティメディア,サービス業,プライム,2148.T
2152,幼児活動研究会,サービス業,スタンダード,2152.T
2153,Ｅ・Ｊホールディングス,サービス業,プライム,2153.T
2154,オープンアップグループ,サービス業,プライム,2154.T
2156,セーラー広告,サービス業,スタンダード,2156.T
2157,コシダカホールディングス,サービス業,プライム,2157.T
2158,ＦＲＯＮＴＥＯ,サービス業,グロース,2158.T
215A,タイミー,サービス業,グロース,215A.T
2160,ジーエヌアイグループ,医薬品,グロース,2160.T
2162,ｎｍｓ　ホールディングス,サービス業,スタンダード,2162.T
2163,アルトナー,サービス業,プライム,2163.T
2164,地域新聞社,サービス業,スタンダード,2164.T
2168,パソナグループ,サービス業,プライム,2168.T
2169,ＣＤＳ,サービス業,スタンダード,2169.T
2170,リンクアンドモチベーション,サービス業,プライム,2170.T
2173,博展,サービス業,グロース,2173.T
2175,エス・エム・エス,サービス業,プライム,2175.T
2179,成学社,サービス業,スタンダード,2179.T
2180,サニーサイドアップグループ,サービス業,スタンダード,2180.T
2181,パーソルホールディングス,サービス業,プライム,2181.T
2183,リニカル,サービス業,スタンダード,2183.T
2185,シイエム・シイ,サービス業,スタンダード,2185.T
2186,ソーバル,サービス業,スタンダード,2186.T
218A,Ｌｉｂｅｒａｗａｒｅ,精密機器,グロース,218A.T
2193,クックパッド,サービス業,スタンダード,2193.T
2195,アミタホールディングス,サービス業,グロース,2195.T
2198,アイ・ケイ・ケイホールディングス,サービス業,プライム,2198.T
219A,Ｈｅａｒｔｓｅｅｄ,医薬品,グロース,219A.T
2201,森永製菓,食料品,プライム,2201.T
2204,中村屋,食料品,スタンダード,2204.T
2206,江崎グリコ,食料品,プライム,2206.T
2207,ｍｅｉｔｏ,食料品,プライム,2207.T
2208,ブルボン,食料品,スタンダード,2208.T
2209,井村屋グループ,食料品,プライム,2209.T
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,情報・通信業,スタンダード,220A.T
2211,不二家,食料品,プライム,2211.T
2212,山崎製パン,食料品,プライム,2212.T
2215,第一屋製パン,食料品,スタンダード,2215.T
