code,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources
5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ(株),1,3,値上がり率・出来高・出来高増加率
7211,三菱自動車(株),8,3,値上がり率・出来高・出来高増加率
4424,(株)Ａｍａｚｉａ,3,2,値上がり率・出来高
4564,オンコセラピー・サイエンス(株),3,2,値上がり率・出来高
4833,(株)Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,4,2,値上がり率・出来高
2997,(株)ストレージ王,5,2,値上がり率・出来高増加率
9984,ソフトバンクグループ(株),6,2,値上がり率・出来高
9399,ビート・ホールディングス・リミテッド,7,2,値上がり率・出来高
3436,(株)ＳＵＭＣＯ,11,2,値上がり率・出来高
4935,(株)リベルタ,14,2,値上がり率・出来高
6194,(株)アトラエ,15,2,値上がり率・出来高増加率
3276,(株)ＪＰＭＣ,18,2,値上がり率・出来高増加率
5802,住友電気工業(株),18,2,値上がり率・出来高
4372,ユミルリンク(株),19,2,値上がり率・出来高増加率
268A,リガク・ホールディングス(株),20,2,値上がり率・出来高
7719,(株)東京衡機,27,2,値上がり率・出来高増加率
5801,古河電気工業(株),30,2,値上がり率・出来高
7837,(株)アールシーコア,33,2,値上がり率・出来高増加率
6590,芝浦メカトロニクス(株),34,2,値上がり率・出来高
298A,ＧＶＡ　ＴＥＣＨ(株),35,2,値上がり率・出来高増加率
3070,(株)ジェリービーンズグループ,36,2,値上がり率・出来高
6526,(株)ソシオネクスト,36,2,値上がり率・出来高
9348,(株)ｉｓｐａｃｅ,37,2,出来高・出来高増加率
4763,(株)クリーク・アンド・リバー社,42,2,値上がり率・出来高増加率
198A,ＰｏｓｔＰｒｉｍｅ(株),60,2,値上がり率・出来高増加率
4596,窪田製薬ホールディングス(株),60,2,値上がり率・出来高
8143,(株)ラピーヌ,64,2,値上がり率・出来高増加率
2315,(株)ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,65,2,値上がり率・出来高
4174,(株)アピリッツ,72,2,値上がり率・出来高増加率
6614,(株)シキノハイテック,77,2,値上がり率・出来高増加率
4777,(株)ガーラ,78,2,値上がり率・出来高増加率
7849,スターツ出版(株),81,2,値上がり率・出来高増加率
6291,日本エアーテック(株),84,2,値上がり率・出来高増加率
2018,GX US REIT・トップ20,1,1,出来高増加率
8918,(株)ランド,1,1,出来高
1360,日経平均ベア2倍上場投信,2,1,出来高
2242,MAXIS NYダウ上場投信(H有),2,1,出来高増加率
4381,ビープラッツ(株),2,1,値上がり率
7523,アールビバン(株),4,1,出来高増加率
9432,ＮＴＴ(株),4,1,出来高
4597,ソレイジア・ファーマ(株),5,1,出来高
2527,NZAM 上場投信 東証REIT Core指数,6,1,出来高増加率
5018,(株)ＭＯＲＥＳＣＯ,6,1,値上がり率
2082,投資家経営者一心同体ETF,7,1,出来高増加率
9434,ソフトバンク(株),7,1,出来高
2877,日東ベスト(株),8,1,出来高増加率
6327,北川精機(株),8,1,値上がり率
2626,GX デジタル・イノベーション-日本株式,9,1,出来高増加率
6227,ＡＩメカテック(株),9,1,値上がり率
8729,ソニーフィナンシャルグループ(株),9,1,出来高
472A,(株)ミラティブ,10,1,値上がり率
5900,(株)ダイケン,10,1,出来高増加率
6740,(株)ジャパンディスプレイ,10,1,出来高
1477,iシェアーズ MSCI 日本株最小分散 ETF,11,1,出来高増加率
5803,(株)フジクラ,11,1,出来高
3350,(株)メタプラネット,12,1,出来高
4575,(株)キャンバス,12,1,値上がり率
7916,光村印刷(株),12,1,出来高増加率
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),13,1,値上がり率
285A,キオクシアホールディングス(株),13,1,出来高
459A,野村 高利回りJリート指数ETF,13,1,出来高増加率
2643,(NEXTFUNDS) MSCIジャパンカントリー指数(セレクト),14,1,出来高増加率
7201,日産自動車(株),14,1,出来高
162A,AIセレクトメガトレンド日本株(ネットリターン)ETN,15,1,出来高増加率
8306,(株)三菱ＵＦＪフィナンシャル・グループ,15,1,出来高
2072,トップシェアインデックス(ネットリターン)ETN,16,1,出来高増加率
5243,ｎｏｔｅ(株),16,1,値上がり率
9501,東京電力ホールディングス(株),16,1,出来高
3224,(株)ゼネラル・オイスター,17,1,出来高増加率
6981,(株)村田製作所,17,1,出来高
9854,愛眼(株),17,1,値上がり率
3622,ネットイヤーグループ(株),18,1,出来高増加率
7203,トヨタ自動車(株),19,1,出来高
7827,(株)オービス,19,1,出来高増加率
3204,(株)トーア紡コーポレーション,20,1,出来高増加率
5401,日本製鉄(株),20,1,出来高
234A,GX MSCI キャッシュフローキング-日本株式,21,1,出来高増加率
5016,ＪＸ金属(株),21,1,出来高
9941,太洋物産(株),21,1,値上がり率
3947,ダイナパック(株),22,1,出来高増加率
6976,太陽誘電(株),22,1,出来高
7803,(株)ブシロード,22,1,値上がり率
1579,日経平均ブル2倍上場投信,23,1,出来高
1689,WisdomTree 天然ガス上場投信,23,1,出来高増加率
1306,(NEXT FUNDS)TOPIX連動型上場投信,24,1,出来高
6266,タツモ(株),24,1,値上がり率
6797,名古屋電機工業(株),24,1,出来高増加率
5255,(株)モンスターラボ,25,1,値上がり率
7461,(株)キムラ,25,1,出来高増加率
1495,上場インデックスファンドアジアリート,26,1,出来高増加率
6387,サムコ(株),26,1,値上がり率
8136,(株)サンリオ,26,1,出来高
2554,(NEXT FUNDS)米国投資適格社債(1-10年)(H有),27,1,出来高増加率
8001,伊藤忠商事(株),27,1,出来高
3382,(株)セブン＆アイ・ホールディングス,28,1,出来高
443A,iFreeETF 東証REIT指数(2・5・8・11月決算型),28,1,出来高増加率
4673,川崎地質(株),28,1,値上がり率
6336,(株)石井表記,29,1,値上がり率
6758,ソニーグループ(株),29,1,出来高
9313,丸八倉庫(株),29,1,出来高増加率
3856,Ａｂａｌａｎｃｅ(株),30,1,出来高増加率
5013,(株)ユシロ,30,1,値上がり率
1357,(NEXT FUNDS) 日経ダブルインバース上場投信,31,1,出来高
1364,ｉシェアーズ JPX日経400 ETF,31,1,出来高増加率
1366,iFreeETF 日経平均ダブルインバース・インデックス,32,1,出来高
449A,ステート・ストリート・スパイダー S&P500 ETF(H無),32,1,出来高増加率
6278,ユニオンツール(株),32,1,値上がり率
7011,三菱重工業(株),33,1,出来高
9560,(株)プログリット,33,1,値上がり率
4755,楽天グループ(株),34,1,出来高
94345,ソフトバンク(株)第1回社債型種類株式,34,1,出来高増加率
6723,ルネサスエレクトロニクス(株),35,1,出来高
6890,(株)フェローテック,35,1,値上がり率
5216,(株)倉元製作所,37,1,値上がり率
4238,ミライアル(株),38,1,値上がり率
6555,(株)ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,38,1,出来高増加率
7267,ホンダ,38,1,出来高
1593,MAXIS JPX日経インデックス400上場投信,39,1,出来高増加率
4880,セルソース(株),39,1,値上がり率
8267,イオン(株),39,1,出来高
2806,ユタカフーズ(株),40,1,出来高増加率
6191,(株)エアトリ,40,1,値上がり率
7012,川崎重工業(株),40,1,出来高
3727,(株)アプリックス,41,1,出来高増加率
6762,ＴＤＫ(株),41,1,出来高
9425,ＲｅＹｕｕ　Ｊａｐａｎ(株),41,1,値上がり率
1356,TOPIXベア2倍上場投信,42,1,出来高
7863,(株)平賀,42,1,出来高増加率
4022,ラサ工業(株),43,1,値上がり率
564A,GX S&P先進国キャッシュフロー・トップ100,43,1,出来高増加率
6501,(株)日立製作所,43,1,出来高
1498,One ETF ESG,44,1,出来高増加率
6941,山一電機(株),44,1,値上がり率
5985,サンコール(株),45,1,値上がり率
6867,リーダー電子(株),45,1,出来高増加率
8053,住友商事(株),45,1,出来高
3664,(株)ＷＩＺＥ,46,1,出来高
9716,(株)乃村工藝社,46,1,値上がり率
5574,(株)ＡＢＥＪＡ,47,1,値上がり率
7291,日本プラスト(株),47,1,出来高増加率
8316,(株)三井住友フィナンシャルグループ,47,1,出来高
1459,楽天 ETF-日経ダブルインバース指数連動型,48,1,出来高
7600,(株)日本エム・ディ・エム,48,1,値上がり率
4689,ＬＩＮＥヤフー(株),50,1,出来高
6522,(株)アスタリスク,50,1,値上がり率
319A,(株)技術承継機構,51,1,値上がり率
3646,(株)駅探,51,1,出来高増加率
6752,パナソニック　ホールディングス(株),51,1,出来高
571A,iシェアーズ 日本国債1-3年,52,1,出来高増加率
6951,日本電子(株),52,1,値上がり率
7532,(株)パン・パシフィック・インターナショナルホールディングス,52,1,出来高
1626,(NEXT FUNDS)情報通信･サービス上場投信,53,1,出来高増加率
4418,(株)ＪＤＳＣ,53,1,値上がり率
6323,ローツェ(株),53,1,出来高
2502,アサヒグループホールディングス(株),54,1,出来高
4073,(株)ジィ・シィ企画,54,1,出来高増加率
7826,(株)フルヤ金属,54,1,値上がり率
2841,iFreeETF NASDAQ100(H有),55,1,出来高増加率
7013,(株)ＩＨＩ,55,1,出来高
3810,サイバーステップホールディングス(株),56,1,値上がり率
4005,住友化学(株),56,1,出来高
4287,(株)ジャストプランニング,56,1,出来高増加率
5618,ナイル(株),57,1,出来高増加率
8604,野村ホールディングス(株),57,1,出来高
4888,ステラファーマ(株),58,1,値上がり率
6874,協立電機(株),58,1,出来高増加率
8750,(株)第一ライフグループ,58,1,出来高
4063,信越化学工業(株),59,1,出来高
7352,(株)ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,59,1,値上がり率
9996,(株)サトー商会,59,1,出来高増加率
7269,スズキ(株),60,1,出来高
4263,サスメド(株),61,1,値上がり率
9433,ＫＤＤＩ(株),61,1,出来高
9959,アシードホールディングス(株),61,1,出来高増加率
6525,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,62,1,出来高
6566,(株)要興業,62,1,出来高増加率
9256,(株)サクシード,62,1,値上がり率
3237,(株)イントランス,63,1,値上がり率
7082,(株)ジモティー,63,1,出来高増加率
7539,(株)アイナボホールディングス,64,1,出来高増加率
8031,三井物産(株),64,1,出来高
8411,(株)みずほフィナンシャルグループ,65,1,出来高
8308,(株)りそなホールディングス,66,1,出来高
6143,(株)ソディック,67,1,値上がり率
6857,(株)アドバンテスト,67,1,出来高
9083,神姫バス(株),67,1,出来高増加率
512A,GX ステーブルコイン&トークンビジネス(除く日本),68,1,出来高増加率
7717,(株)ブイ・テクノロジー,68,1,値上がり率
8058,三菱商事(株),68,1,出来高
5946,(株)長府製作所,69,1,出来高増加率
8746,ｕｎｂａｎｋｅｄ(株),69,1,値上がり率
297A,アルピコホールディングス(株),70,1,出来高増加率
6258,平田機工(株),70,1,値上がり率
7974,任天堂(株),70,1,出来高
4171,(株)グローバルインフォメーション,71,1,出来高増加率
6779,日本電波工業(株),71,1,値上がり率
8766,東京海上ホールディングス(株),71,1,出来高
4760,(株)アルファ,72,1,出来高増加率
8801,三井不動産(株),72,1,出来高
2636,GX MSCIガバナンス・クオリティ-日本株式,73,1,出来高増加率
4062,イビデン(株),73,1,出来高
6254,野村マイクロ・サイエンス(株),73,1,値上がり率
3766,システムズ・デザイン(株),74,1,出来高増加率
6728,(株)アルバック,74,1,値上がり率
6971,京セラ(株),74,1,出来高
255A,ジーエルテクノホールディングス(株),75,1,値上がり率
6144,西部電機(株),75,1,出来高増加率
6954,ファナック(株),75,1,出来高
1592,上場インデックス JPX日経インデックス400,76,1,出来高増加率
3671,ソフトマックス(株),76,1,値上がり率
4568,第一三共(株),76,1,出来高
3760,(株)ケイブ,77,1,出来高増加率
4503,アステラス製薬(株),77,1,出来高
6081,アライドアーキテクツ(株),78,1,値上がり率
7453,(株)良品計画,78,1,出来高
497A,インバウンド消費関連 日本株(ネットリターン)ETN,79,1,出来高増加率
5707,東邦亜鉛(株),79,1,値上がり率
6506,(株)安川電機,79,1,出来高
3624,アクセルマーク(株),80,1,値上がり率
4069,(株)ＢｌｕｅＭｅｍｅ,80,1,出来高増加率
5020,ＥＮＥＯＳホールディングス(株),80,1,出来高
3402,東レ(株),81,1,出来高
6125,(株)岡本工作機械製作所,81,1,値上がり率
5132,(株)ｐｌｕｓｚｅｒｏ,82,1,値上がり率
7110,(株)クラシコム,82,1,出来高増加率
8113,ユニ・チャーム(株),82,1,出来高
2146,ＵＴグループ(株),83,1,出来高
3192,(株)白鳩,83,1,出来高増加率
6134,(株)ＦＵＪＩ,83,1,値上がり率
6059,(株)ウチヤマホールディングス,84,1,出来高増加率
3550,(株)スタジオアタオ,85,1,出来高増加率
6902,(株)デンソー,85,1,出来高
7048,ベルトラ(株),85,1,値上がり率
6178,日本郵政(株),86,1,出来高
6629,テクノホライゾン(株),86,1,値上がり率
7370,(株)Ｅｎｊｉｎ,86,1,出来高増加率
4199,ワンダープラネット(株),87,1,値上がり率
6701,ＮＥＣ,87,1,出来高
9171,栗林商船(株),87,1,出来高増加率
6098,(株)リクルートホールディングス,88,1,出来高
6217,津田駒工業(株),88,1,値上がり率
7377,ＤＮホールディングス(株),88,1,出来高増加率
206A,(株)ＰＲＩＳＭ　ＢｉｏＬａｂ,89,1,値上がり率
3054,(株)ハイパー,89,1,出来高増加率
6993,大黒屋ホールディングス(株),89,1,出来高
4395,(株)アクリート,90,1,値上がり率
7918,(株)ヴィア・ホールディングス,90,1,出来高増加率
2852,iシェアーズ グリーンJリート,91,1,出来高増加率
4902,コニカミノルタ(株),91,1,出来高
6433,ヒーハイスト(株),91,1,値上がり率
3687,(株)フィックスターズ,92,1,値上がり率
9021,西日本旅客鉄道(株),92,1,出来高
2181,パーソルホールディングス(株),93,1,出来高
254A,ＡＩフュージョンキャピタルグループ(株),93,1,値上がり率
4188,三菱ケミカルグループ(株),94,1,出来高
6855,日本電子材料(株),94,1,値上がり率
148A,(株)ハッチ・ワーク,95,1,出来高増加率
3315,日本コークス工業(株),95,1,出来高
5922,那須電機鉄工(株),95,1,値上がり率
1981,(株)協和日成,96,1,出来高増加率
3825,(株)リミックスポイント,96,1,値上がり率
6963,ローム(株),96,1,出来高
2342,(株)トランスジェニックグループ,97,1,値上がり率
7182,(株)ゆうちょ銀行,97,1,出来高
3697,(株)ＳＨＩＦＴ,98,1,出来高
485A,(株)パワーエックス,99,1,出来高
1545,(NEXT FUNDS)NASDAQ-100(H無)連動型上場投信,100,1,出来高
5035,ＨＯＵＳＥＩ(株),101,1,出来高増加率
6085,アーキテクツ・スタジオ・ジャパン(株),101,1,値上がり率
9107,川崎汽船(株),101,1,出来高
4543,テルモ(株),102,1,出来高
