evaluation_version,factor_key,factor_label,transition_count,avg_turnover,median_turnover,latest_turnover,latest_transition_date,status
v4,score,総合スコア,0,,,,,サンプル不足
v4,return_20d,20日モメンタム,0,,,,,サンプル不足
v4,return_60d,60日モメンタム,0,,,,,サンプル不足
v4,return_120d,120日モメンタム,0,,,,,サンプル不足
v4,distance_ma20,20日移動平均乖離,0,,,,,サンプル不足
v4,distance_ma60,60日移動平均乖離,0,,,,,サンプル不足
v4,avg_turnover_20d,20日平均売買代金,0,,,,,サンプル不足
v4,volume_ratio_20d,出来高比,0,,,,,サンプル不足
v4,distance_high_120d,120日高値接近度,0,,,,,サンプル不足
v4,volatility_20d,20日変動率,0,,,,,サンプル不足
v5,score,総合スコア,0,,,,,サンプル不足
v5,return_20d,20日モメンタム,0,,,,,サンプル不足
v5,return_60d,60日モメンタム,0,,,,,サンプル不足
v5,return_120d,120日モメンタム,0,,,,,サンプル不足
v5,distance_ma20,20日移動平均乖離,0,,,,,サンプル不足
v5,distance_ma60,60日移動平均乖離,0,,,,,サンプル不足
v5,avg_turnover_20d,20日平均売買代金,0,,,,,サンプル不足
v5,volume_ratio_20d,出来高比,0,,,,,サンプル不足
v5,distance_high_120d,120日高値接近度,0,,,,,サンプル不足
v5,volatility_20d,20日変動率,0,,,,,サンプル不足
v7,score,総合スコア,18,0.6166666666666667,0.625,0.55,2026-07-14,評価可能
v7,return_20d,20日モメンタム,18,0.6527777777777779,0.65,0.55,2026-07-14,評価可能
v7,return_60d,60日モメンタム,18,0.5166666666666667,0.5,0.65,2026-07-14,評価可能
v7,return_120d,120日モメンタム,18,0.5361111111111111,0.55,0.7,2026-07-14,評価可能
v7,distance_ma20,20日移動平均乖離,18,0.6944444444444444,0.7,0.5,2026-07-14,評価可能
v7,distance_ma60,60日移動平均乖離,18,0.5499999999999999,0.55,0.55,2026-07-14,評価可能
v7,avg_turnover_20d,20日平均売買代金,18,0.16666666666666666,0.15000000000000002,0.19999999999999996,2026-07-14,評価可能
v7,volume_ratio_20d,出来高比,18,0.8833333333333333,0.9,0.85,2026-07-14,評価可能
v7,distance_high_120d,120日高値接近度,18,0.836111111111111,0.85,0.85,2026-07-14,評価可能
v7,volatility_20d,20日変動率,18,0.6916666666666668,0.7,0.65,2026-07-14,評価可能
