evaluation_version,universe_source,universe_label,horizon,sample_count,valid_count,avg_open_buy_return,median_open_buy_return,win_rate,avg_excess_return,avg_net_return,cost_bps_one_way
v4,jpx_liquidity,JPX流動性,1d,100,100,-0.003237742293321324,-0.0035159520906045127,0.45,,-0.005230270046476974,10
v4,jpx_liquidity,JPX流動性,3d,100,100,0.03629324122645114,0.02634369309948137,0.78,,0.03422169103723946,10
v4,jpx_liquidity,JPX流動性,5d,100,100,0.05292986357686018,0.041385482221648284,0.8,,0.050825056779570055,10
v4,jpx_liquidity,JPX流動性,10d,100,100,0.010583817175516564,-0.0010237274557547416,0.5,,0.008563660124982702,10
v4,yahoo,Yahooランキング,1d,100,100,-0.006279601058521653,-0.005865601046527724,0.37,,-0.00826604813600566,10
v4,yahoo,Yahooランキング,3d,100,100,0.03269663923701476,0.01859026404357933,0.67,,0.030632278655179958,10
v4,yahoo,Yahooランキング,5d,100,100,0.058593379342656224,0.04071834992887624,0.7,,0.056477251177350266,10
v4,yahoo,Yahooランキング,10d,100,100,0.005325580647165848,-0.0070504977543554,0.47,,0.0033159348114521637,10
v5,jpx_liquidity,JPX流動性,1d,100,100,0.011343672810443598,0.011026180458158064,0.67,,0.009321996808495521,10
v5,jpx_liquidity,JPX流動性,3d,100,100,0.03887108110824339,0.032597456476004094,0.74,,0.036794377817108016,10
v5,jpx_liquidity,JPX流動性,5d,100,100,-0.017576970160311674,-0.025129577478021192,0.31,,-0.019540833796961216,10
v5,jpx_liquidity,JPX流動性,10d,100,100,0.01246881940743416,0.006196273379935779,0.54,,0.010444894237438693,10
v5,yahoo,Yahooランキング,1d,100,100,0.007677485641730712,0.002439941035289772,0.53,,0.0056631383479328916,10
v5,yahoo,Yahooランキング,3d,100,100,0.0283527406055044,0.01614404224131394,0.66,,0.02629706347703402,10
v5,yahoo,Yahooランキング,5d,100,100,-0.02370031116824329,-0.027664381188891363,0.31,,-0.02565193424621798,10
v5,yahoo,Yahooランキング,10d,100,100,-0.005242711892910319,-0.01251154383063844,0.39,,-0.007231231711836397,10
v7,jpx_liquidity,JPX流動性,1d,2600,2500,-0.004941334544624376,-0.002358007119269645,0.4388,,-0.006930456816869669,10
v7,jpx_liquidity,JPX流動性,3d,2600,2300,-0.01438234838431102,-0.009879878158369326,0.38173913043478264,,-0.016352598069890784,10
v7,jpx_liquidity,JPX流動性,5d,2600,2100,-0.022889918203310038,-0.015616760828625231,0.36857142857142855,,-0.02484316125682162,10
v7,jpx_liquidity,JPX流動性,10d,2600,1600,-0.05111922139730538,-0.04021960677572256,0.298125,,-0.05301603407373216,10
v7,yahoo,Yahooランキング,1d,2600,2500,-0.004469720008448695,-0.0026869332136877366,0.428,,-0.006459785038151805,10
v7,yahoo,Yahooランキング,3d,2600,2299,-0.011997142928558135,-0.008039579468150926,0.4119182253153545,,-0.013972160639843946,10
v7,yahoo,Yahooランキング,5d,2600,2100,-0.019671724360622814,-0.011494480328735346,0.4042857142857143,,-0.02163140058362593,10
v7,yahoo,Yahooランキング,10d,2600,1598,-0.03536968558264817,-0.019437260316334998,0.4167709637046308,,-0.037297981581168455,10
