rank,code,ticker,name,market,industry,liquidity_rank,in_yahoo_pool,universe_source,universe_label,best_yahoo_rank,ranking_hits,ranking_sources,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,8136,8136.T,サンリオ,プライム,卸売業,44,True,jpx_liquidity,JPX流動性,20.0,1.0,出来高,2026-07-30,1353.5,0.007818317200297908,0.18416447944007008,0.2383348581884721,0.4875260618567381,0.4360165208562503,1188.15,1000.5600006103516,0.13916593022766488,0.3527424633948504,0.0,0.4784522978591451,29976700.0,25268965.0,1.186305018824475,30166121257.5,275,19.06666666666667,17.835,9.081803005008348,9.766666666666667,9.908333333333333,9.283333333333333,4.093333333333334,6.918333333333333,1.8083333333333333,87.76,45.98,19.68,13.38,v7,True,True,True,True,True,True,True,False,True,True,True,True
2,4307,4307.T,野村総合研究所,プライム,情報・通信業,96,True,jpx_liquidity,JPX流動性,126.0,1.0,出来高,2026-07-30,5576.0,0.015110140178408837,0.13726290026514376,0.22522522522522515,0.33301458283528573,0.21369863741654904,5086.4,4746.05,0.09625668449197877,0.17487173544315793,0.0,0.37975816652815775,5114300.0,2568845.0,1.9908947406324633,13971765760.0,275,18.9,16.769999999999996,6.560934891485811,9.3,9.4,8.416666666666668,7.053333333333334,6.918333333333333,2.9983333333333335,86.32,42.23,18.7,15.47,v7,True,True,True,True,True,True,True,True,True,True,True,True
3,4722,4722.T,フューチャー,プライム,情報・通信業,338,True,jpx_liquidity,JPX流動性,42.0,2.0,出来高・出来高増加率,2026-07-30,2449.0,0.028127623845507932,0.12185066422354551,0.6111842105263159,0.5871678548282566,0.2957671957671957,2029.15,1694.5112040201823,0.20690929699627914,0.4452545336907854,0.0,0.5778147397128545,8666300.0,835245.0,10.375758011122485,2771220735.0,275,19.816666666666666,17.835,7.712854757929883,9.908333333333333,9.908333333333333,4.383333333333334,7.926666666666666,6.918333333333333,1.3416666666666668,85.75,45.36,19.82,12.31,v7,True,True,True,True,True,True,True,True,True,False,True,False
4,4324,4324.T,電通グループ,プライム,サービス業,214,True,jpx_liquidity,JPX流動性,111.0,1.0,出来高,2026-07-30,3763.0,-0.028652555498193122,0.11927424152290311,0.2370151216305063,0.26828446241995274,0.2678571428571428,3432.75,3189.133333333333,0.09620566601121561,0.17994439450634458,-0.028652555498193122,0.3864522323571743,5846500.0,1235955.0,4.7303502150159185,5191590560.0,275,19.033333333333335,16.139999999999997,7.362270450751253,9.283333333333333,9.433333333333335,6.45,7.926666666666666,5.716666666666668,2.916666666666667,84.26,42.54,18.72,14.38,v7,True,True,True,True,True,True,True,True,True,True,True,True
5,5108,5108.T,ブリヂストン,プライム,ゴム製品,87,True,jpx_liquidity,JPX流動性,105.0,1.0,出来高,2026-07-30,4050.0,-0.016990291262135915,0.08086469175340283,0.19047619047619047,0.2534818941504178,0.16045845272206294,3713.8,3489.8925537109376,0.0905272227906726,0.16049418074303712,-0.016990291262135915,0.29176439102832,6278300.0,3958810.0,1.5859058656515468,15516147540.0,275,18.166666666666664,15.66,5.809682804674457,9.2,9.216666666666665,8.566666666666668,6.4,6.23,4.538333333333333,83.79,39.64,18.42,14.97,v7,True,True,True,True,True,True,True,True,True,True,True,True
6,2767,2767.T,円谷フィールズホールディングス,プライム,卸売業,462,True,jpx_liquidity,JPX流動性,124.0,2.0,値上がり率・出来高,2026-07-30,2414.0,0.036051502145922676,0.6466575716234653,0.7633308984660336,0.7379409647228221,0.422487494107882,1566.4,1449.4833333333333,0.5411133810010214,0.6654210120847659,0.0,1.1227895743422747,5192500.0,557255.0,9.317996249472863,1586694765.0,275,19.816666666666666,17.835,8.998330550918196,9.908333333333333,9.908333333333333,2.3166666666666664,7.926666666666666,6.918333333333333,0.07583333333333334,83.7,46.65,19.82,10.24,v7,True,True,True,True,True,True,True,True,True,False,False,False
7,6532,6532.T,ベイカレント,プライム,サービス業,101,False,jpx_liquidity,JPX流動性,,,,2026-07-30,7329.0,-0.010396975425330801,0.17640449438202244,0.16555343511450382,0.44044811320754707,0.34842112610804965,6736.95,5986.05,0.08788101440562879,0.2243466058586212,-0.010396975425330801,0.5536846373128644,2251100.0,1910140.0,1.1785000052352184,13035996100.0,275,17.433333333333334,17.55,8.313856427378965,9.15,9.75,8.333333333333336,4.066666666666666,6.533333333333332,1.4116666666666666,82.54,43.3,18.9,12.4,v7,True,True,True,True,True,True,True,False,True,True,True,True
8,2503,2503.T,キリンホールディングス,プライム,食料品,116,True,jpx_liquidity,JPX流動性,33.0,1.0,出来高,2026-07-30,3068.0,-0.020746887966805017,0.06012439530062208,0.12216532553035853,0.22818254603682941,0.31139132293225047,2904.725,2754.4168904622397,0.056210140374734374,0.11384736661454875,-0.020746887966805017,0.23795640795014797,17227600.0,3084365.0,5.585460864716076,11248802705.0,275,15.466666666666665,14.94,7.946577629382305,8.066666666666665,8.383333333333335,8.083333333333332,7.926666666666666,6.02,5.576666666666666,82.41,38.35,16.45,16.01,v7,True,True,True,True,True,True,True,True,True,True,True,True
9,7832,7832.T,バンダイナムコホールディングス,プライム,その他製品,126,False,jpx_liquidity,JPX流動性,,,,2026-07-30,4739.0,-0.0016852749104697695,0.1578304422184218,0.23443605105496212,0.313470066518847,0.20176683947287044,4175.55,3858.5,0.13494030726491113,0.22819748606971624,-0.0016852749104697695,0.3379754369521141,2377400.0,2324830.0,1.0226124060684008,9884446785.0,275,19.0,16.53,6.393989983305509,9.75,9.766666666666667,7.916666666666665,2.533333333333333,6.79,3.6983333333333333,82.38,41.92,19.52,10.45,v7,True,True,True,True,True,True,True,False,True,True,True,True
10,6758,6758.T,ソニーグループ,プライム,電気機器,24,True,jpx_liquidity,JPX流動性,22.0,1.0,出来高,2026-07-30,3809.0,0.0,0.10566037735849054,0.17199999999999993,0.21810041573393035,0.12170583482932074,3475.05,3431.0333333333333,0.09609933670019122,0.11016117593339225,0.0,0.2749003633844839,25084500.0,17092490.0,1.4675743557550713,60788983260.0,275,17.666666666666664,14.64,4.958263772954925,9.266666666666666,8.183333333333335,9.616666666666667,6.0,6.918333333333333,4.935,82.18,37.26,17.45,15.62,v7,True,True,True,True,True,True,True,True,True,True,True,True
11,9433,9433.T,ＫＤＤＩ,プライム,情報・通信業,54,True,jpx_liquidity,JPX流動性,50.0,1.0,出来高,2026-07-30,3051.0,-0.01833976833976836,0.06288103117923716,0.14915254237288145,0.19740973312401877,0.1625629474885939,2860.5,2739.8166666666666,0.06659674882013644,0.11357815912256908,-0.01833976833976836,0.1936208882154229,12620000.0,8132365.0,1.5518241003693267,23942337945.0,275,16.86666666666667,14.1,5.826377295492488,8.583333333333332,8.35,9.116666666666665,6.306666666666667,6.136666666666668,6.428333333333333,81.71,36.79,16.93,15.42,v7,True,True,True,True,True,True,True,True,True,True,True,True
12,9616,9616.T,共立メンテナンス,プライム,サービス業,296,False,jpx_liquidity,JPX流動性,,,,2026-07-30,3428.0,0.01721068249258151,0.10938511326860834,0.14763977234683634,0.42833333333333323,0.24431024737700402,3091.4,2778.725,0.10888270686420398,0.2336593221711396,0.0,0.3948854601336042,1679000.0,1059535.0,1.5846574204721882,3390952870.0,275,16.76666666666667,17.49,7.0116861435726205,9.45,9.783333333333335,5.083333333333332,6.386666666666667,6.918333333333333,2.8233333333333333,81.71,41.27,19.23,11.47,v7,True,True,True,True,True,True,True,True,True,True,True,True
13,9697,9697.T,カプコン,プライム,情報・通信業,109,True,jpx_liquidity,JPX流動性,101.0,1.0,出来高,2026-07-30,4107.0,-0.02884842752423744,0.223413762287757,0.36038423318979795,0.22560429722470898,0.13507796399373917,3426.7,3165.125,0.19852919718679796,0.29757908455432247,-0.02884842752423744,0.7452740992982163,6612700.0,3020030.0,2.18961401045685,12006502765.0,275,19.816666666666666,14.88,5.325542570951585,9.908333333333333,9.908333333333333,8.2,7.253333333333333,5.6816666666666675,0.595,81.57,40.02,19.82,15.45,v7,True,True,True,True,True,True,True,True,True,False,True,False
14,6098,6098.T,リクルートホールディングス,プライム,サービス業,27,True,jpx_liquidity,JPX流動性,148.0,1.0,出来高,2026-07-30,12915.0,-0.014122137404580126,0.04532577903682711,0.12012142237640933,0.7545170493139519,0.5669426587299942,12422.5,10892.633333333333,0.039645803984705186,0.18566370544006805,-0.014122137404580126,0.34864189936540413,4406500.0,4199760.0,1.0492266224736653,52251489700.0,275,15.333333333333336,17.835,9.482470784641068,7.0,9.516666666666667,9.566666666666668,2.8,6.405,3.535,81.47,42.65,16.52,12.37,v7,True,True,True,True,True,True,True,False,True,True,True,True
15,6460,6460.T,セガサミーホールディングス,プライム,機械,361,False,jpx_liquidity,JPX流動性,,,,2026-07-30,2910.5,-0.003765189115180534,0.19724393253805017,0.311036036036036,0.2648848326814428,0.23017041110597103,2509.175,2337.116666666667,0.15994300915639603,0.2453379163784435,-0.003765189115180534,0.3527060228297305,1165000.0,924685.0,1.259888502571146,2435901800.0,275,19.816666666666666,16.02,6.828046744574292,9.908333333333333,9.8,4.0,4.76,6.755,3.5,81.39,42.66,19.71,8.76,v7,True,True,True,True,True,True,True,True,True,True,True,True
16,8630,8630.T,ＳＯＭＰＯホールディングス,プライム,保険業,74,False,jpx_liquidity,JPX流動性,,,,2026-07-30,7219.0,-0.0192908572204864,0.03930319608407706,0.15504000000000007,0.2653812445223489,0.3696159047809,6815.3,6305.65,0.05923436972693796,0.144846288645897,-0.0192908572204864,0.2889427275244325,2797000.0,2645840.0,1.0571311946300608,18094156240.0,275,17.06666666666667,16.08,8.547579298831385,8.233333333333334,9.033333333333333,8.783333333333333,2.9466666666666668,6.078333333333332,4.585,81.35,41.69,17.27,11.73,v7,True,True,True,True,True,True,True,False,True,True,True,True
17,4661,4661.T,オリエンタルランド,プライム,サービス業,73,True,jpx_liquidity,JPX流動性,61.0,1.0,出来高,2026-07-30,2920.0,-0.0363036303630363,0.11026615969581743,0.2106135986733002,0.3135402609086819,0.06129168164798937,2693.125,2401.575,0.08424228359248076,0.21586875279764328,-0.0363036303630363,0.39655636235630426,10626000.0,6416960.0,1.655924300603401,18312034382.5,275,18.53333333333333,16.56,3.9398998330550916,9.066666666666665,9.683333333333335,8.8,6.52,5.401666666666666,2.811666666666666,81.32,39.03,18.75,15.32,v7,True,True,True,True,True,True,True,True,True,True,True,True
18,9449,9449.T,ＧＭＯインターネットグループ,プライム,情報・通信業,403,False,jpx_liquidity,JPX流動性,,,,2026-07-30,4212.0,-0.01080319398778773,0.0628311884935655,0.24985163204747773,0.3832512315270935,0.11698242206467913,3933.35,3470.7833333333333,0.0708429201571179,0.213558898807666,-0.01080319398778773,0.3361032995351608,1341100.0,480380.0,2.7917481993421873,2104522860.0,275,19.233333333333334,17.22,4.891485809682805,8.75,9.666666666666668,3.3,7.493333333333334,6.5216666666666665,3.733333333333334,80.81,41.34,18.42,10.79,v7,True,True,True,True,True,True,True,True,True,True,True,True
19,7309,7309.T,シマノ,プライム,輸送用機器,169,False,jpx_liquidity,JPX流動性,,,,2026-07-30,20970.0,-0.004509850462853127,0.12229060743912235,0.2220279720279721,0.25983778912586364,0.19521231119977211,18254.0,17215.69951171875,0.14878930645338007,0.2180742342607509,-0.004509850462853127,0.4324214172794669,444100.0,374335.0,1.186370497014706,7237608200.0,275,18.733333333333334,15.81,6.277128547579299,9.908333333333333,9.716666666666667,7.2,4.1066666666666665,6.731666666666667,2.2516666666666665,80.74,40.82,19.62,11.31,v7,True,True,True,True,True,True,True,False,True,True,True,True
