rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,9104,商船三井,海運業,プライム,9104.T,(株)商船三井,49,2,値上がり率・出来高,302,2026-08-21,2026-06-17,7,1,121.0,72.0,2026-08-21,7278.0,0.04614057783527392,0.12471024571163647,0.25591026747195866,0.33443344334433434,0.34652904352300595,6267.75,5734.466666666666,0.1611822424314946,0.2691677226594744,0.0,0.30051088038557083,5966400.0,3061840.0,1.948632195019988,20904296270.0,290,17.79816513761468,16.073394495412845,8.593272171253822,9.204892966360855,9.204892966360855,8.470948012232416,6.189602446483181,6.636085626911315,4.944954128440368,87.12,42.46,18.41,14.66,v7,True,True,True,True,True,True,True,True,True,True,True,True
2,9101,日本郵船,海運業,プライム,9101.T,日本郵船(株),54,2,値上がり率・出来高,297,2026-08-21,2026-06-18,10,1,146.0,92.0,2026-08-21,7101.0,0.04503311258278142,0.10953125000000008,0.22073233625580202,0.35774378585086053,0.3800034901367577,6254.9,5695.05,0.13526994836048534,0.24687228382542736,0.0,0.31723643902800974,5552800.0,3181435.0,1.7453759074128499,21070992405.0,290,17.186544342507645,16.34862385321101,8.685015290519878,8.929663608562691,8.990825688073393,8.501529051987767,5.896024464831804,6.636085626911315,4.666666666666666,85.84,42.22,17.92,14.4,v7,True,True,True,True,True,True,True,True,True,True,True,True
3,9107,川崎汽船,海運業,プライム,9107.T,川崎汽船(株),20,2,値上がり率・出来高,331,2026-08-21,2026-06-15,39,13,119.0,99.0,2026-08-21,3405.0,0.07277882797731561,0.12376237623762387,0.22043010752688175,0.3816189896530737,0.430192529545979,2937.9,2701.758333333333,0.15899111610333905,0.26029036645888026,0.0,0.367638863950197,9567300.0,5172975.0,1.8494773317095095,16275829847.5,290,17.12538226299694,16.678899082568805,8.837920489296636,9.174311926605505,9.082568807339449,8.01223241590214,6.042813455657492,6.636085626911315,4.0244648318042815,85.61,42.64,18.26,14.06,v7,True,True,True,True,True,True,True,True,True,True,True,True
4,6027,弁護士ドットコム,サービス業,プライム,6027.T,弁護士ドットコム(株),96,1,値上がり率,155,2026-08-21,2026-06-19,10,1,3.0,-93.0,2026-08-21,4475.0,0.03587962962962954,0.19333333333333336,1.0040304523063144,0.8176279447603574,0.9414316702819956,2884.8,2473.5,0.5512340543538545,0.8091772791590863,0.0,1.2125038332925644,437300.0,313075.0,1.3967899065719076,1199185725.0,290,19.816513761467892,17.834862385321102,9.694189602446484,9.908256880733946,9.908256880733946,5.810397553516819,5.259938837920489,6.636085626911315,0.40672782874617736,85.28,47.35,19.82,11.07,v7,True,True,True,True,True,True,True,True,True,False,False,False
5,9722,藤田観光,サービス業,プライム,9722.T,藤田観光(株),33,1,値上がり率,218,2026-08-21,2026-08-07,3,1,35.0,2.0,2026-08-21,2651.0,0.06167400881057272,0.13630518645520784,0.3707342295760083,0.4785276073619631,0.14316515739542912,2178.95,1965.2333333333333,0.21664104270405482,0.34894923418762835,0.0,0.5794606867837251,716500.0,322175.0,2.2239466128656784,785823165.0,290,19.143730886850154,17.174311926605505,6.972477064220183,9.571865443425077,9.541284403669726,5.688073394495413,6.654434250764527,6.636085626911315,2.2905198776758406,83.67,43.29,19.11,12.34,v7,True,True,True,True,True,True,True,True,True,False,True,False
6,3173,Ｃｏｍｉｎｉｘ,卸売業,スタンダード,3173.T,(株)Ｃｏｍｉｎｉｘ,14,1,値上がり率,237,2026-08-21,2026-08-06,5,1,77.0,63.0,2026-08-21,1546.0,0.0925795053003533,0.08036338225017481,0.5905349794238683,0.6859323882224646,0.7359827811251689,1260.35,1051.8666666666666,0.22664339270837464,0.4697680314361772,-0.008338678640153918,0.9648995637373639,48400.0,22425.0,2.158305462653289,34799585.0,262,19.571865443425075,17.834862385321102,9.480122324159021,9.633027522935778,9.785932721712538,3.394495412844037,6.483180428134556,6.079510703363914,0.8134556574923547,83.08,46.89,19.42,9.88,v7,True,False,True,True,True,True,True,True,True,False,False,False
7,6138,ダイジェット工業,機械,スタンダード,6138.T,ダイジェット工業(株),100,1,値上がり率,151,2026-08-21,2026-06-18,9,1,1.0,-99.0,2026-08-21,2083.0,0.03477396920019871,0.04937027707808572,0.8499111900532859,1.080919080919081,0.856677939810941,1508.0,1233.8333333333333,0.3812997347480107,0.6882344995272187,0.0,1.2555617574900284,52500.0,40430.0,1.2985406876082117,78340370.0,280,19.816513761467892,17.834862385321102,9.633027522935778,9.908256880733946,9.908256880733946,3.792048929663608,4.941896024464832,6.636085626911315,0.3211009174311927,82.79,47.28,19.82,8.73,v7,True,True,True,True,True,True,True,True,True,False,False,False
8,4746,東計電算,情報・通信業,スタンダード,4746.T,(株)東計電算,88,1,値上がり率,163,2026-08-21,2026-07-08,5,1,12.0,-76.0,2026-08-21,6670.0,0.03732503888024885,0.026153846153846194,0.38813735691987516,0.6062635548947664,0.5856705351853966,5932.25,4906.2910563151045,0.12436259429390195,0.35947906951316067,0.0,0.7885951858085736,107100.0,89720.0,1.193713776192599,592970350.0,274,19.266055045871557,17.61467889908257,9.235474006116208,8.654434250764526,9.602446483180428,5.443425076452599,4.623853211009174,6.636085626911315,1.3272171253822629,82.4,46.12,18.26,10.07,v7,True,True,True,True,True,True,True,False,True,True,True,True
9,296A,令和アカウンティング・ホールディングス,サービス業,グロース,296A.T,令和アカウンティング・ホールディングス(株),9,2,値上がり率・出来高増加率,342,2026-08-21,2026-06-29,3,1,7.0,-2.0,2026-08-21,1087.0,0.16008537886872998,0.17133620689655182,0.20643729189789117,0.4043927648578811,0.6683375264860898,911.15,809.3833333333333,0.19299785984744555,0.34299775549286493,0.0,0.63348466237836,586000.0,180535.0,3.245907995679508,157302465.0,273,17.003058103975533,16.844036697247706,9.357798165137615,9.44954128440367,9.510703363914374,4.373088685015291,6.996941896024465,6.636085626911315,2.0122324159021407,82.18,43.2,18.96,11.37,v7,True,True,True,True,True,True,True,True,True,False,True,False
10,2767,円谷フィールズホールディングス,卸売業,プライム,2767.T,円谷フィールズホールディングス(株),132,1,値上がり率,119,2026-08-21,2026-07-06,6,1,124.0,-8.0,2026-08-21,2540.0,0.030008110300081103,0.02709260008087333,0.7326057298772168,0.8168812589413448,0.7864579800728915,2320.95,1704.2166666666667,0.0943794566879943,0.4904208189490773,0.0,1.1370075224172438,1233600.0,1398850.0,0.8818672480966508,3432051025.0,290,19.816513761467892,17.834862385321102,9.510703363914374,8.073394495412845,9.908256880733946,6.299694189602446,3.0336391437308867,6.636085626911315,0.5137614678899083,81.63,47.16,17.98,9.33,v7,True,True,True,True,True,True,True,False,True,True,False,False
