evaluation_version,factor_key,factor_label,factor_description,higher_is_better,group_name,group_value,horizon,horizon_label,quantile,sample_count,valid_count,avg_return,median_return,win_rate,status,top_bottom_spread
v4,avg_turnover_20d,20日平均売買代金,流動性の代理指標,True,全体,全体,10d,10営業日,1,20,20,0.017604316535696662,0.07151961807779159,0.6,サンプル不足,-0.02922438922705879
v4,avg_turnover_20d,20日平均売買代金,流動性の代理指標,True,全体,全体,10d,10営業日,2,20,20,0.040480117637054204,0.02944178601691024,0.6,サンプル不足,-0.02922438922705879
v4,avg_turnover_20d,20日平均売買代金,流動性の代理指標,True,全体,全体,10d,10営業日,3,20,20,0.00991256272435494,-0.030469032959072773,0.3,サンプル不足,-0.02922438922705879
v4,avg_turnover_20d,20日平均売買代金,流動性の代理指標,True,全体,全体,10d,10営業日,4,20,20,-0.005610152635745358,-0.003946009040405207,0.45,サンプル不足,-0.02922438922705879
v4,avg_turnover_20d,20日平均売買代金,流動性の代理指標,True,全体,全体,10d,10営業日,5,20,20,-0.011620072691362126,-0.013827579647436639,0.45,サンプル不足,-0.02922438922705879
v4,avg_turnover_20d,20日平均売買代金,流動性の代理指標,True,全体,全体,1d,1営業日,1,20,20,0.005276232290860194,0.0031864184311423,0.55,サンプル不足,-0.010865624169238091
v4,avg_turnover_20d,20日平均売買代金,流動性の代理指標,True,全体,全体,1d,1営業日,2,20,20,0.0007487090596958602,-0.006528251682088149,0.4,サンプル不足,-0.010865624169238091
v4,avg_turnover_20d,20日平均売買代金,流動性の代理指標,True,全体,全体,1d,1営業日,3,20,20,0.0039637952177128954,-0.007261305654574668,0.45,サンプル不足,-0.010865624169238091
v4,avg_turnover_20d,20日平均売買代金,流動性の代理指標,True,全体,全体,1d,1営業日,4,20,20,-0.010906733384031576,-0.008971916789494216,0.3,サンプル不足,-0.010865624169238091
v4,avg_turnover_20d,20日平均売買代金,流動性の代理指標,True,全体,全体,1d,1営業日,5,20,20,-0.005589391878377897,-0.009557333126237744,0.25,サンプル不足,-0.010865624169238091
